Dates,Interest Rates(I),Inflation(IN),GDP RATES(qoq),GBPUSd,BOP(T+N+S),long term interets rate(I*),long term inflation rates(In*),,,,,
,,,,,,,,,,,,
Jan-90,,,,,,,,,,,,
Feb-90,,,,,,,,,,,,
Mar-90,,,,,,,,,,,,
Apr-90,,,,,,,,,,,,
May-90,,,,,,,,,,,,
Jun-90,,,,,,,,,,,,
Jul-90,,,,,,,,,,,,
Aug-90,,,,,,,,,,,,
Sep-90,,,,,,,,,,,,
Oct-90,,,,,,,,,,,,
Nov-90,,,,,,,,,,,,
Dec-90,,,,,,,,,,,,
Jan-91,13.80%,7.10%,-0.5,1.967,-2564,6.3,2.9,,,,,
Feb-91,13.80%,7,-0.5,1.913,-2564,6.3,2.9,,,,,
Mar-91,12.80%,6.9,-0.5,1.751,-2564,6.3,2.9,,,,,
Apr-91,11.88%,8.4,-0.4,1.726,-1309,6.3,2.9,,,,,
May-91,11.38%,8.2,-0.4,1.698,-1309,6.3,2.9,,,,,
Jun-91,11.38%,8.4,-0.4,1.622,-1309,6.3,2.9,,,,,
Jul-91,10.88%,8.3,-0.3,1.687,-2084,6.3,2.9,,,,Sep16 1992,
Aug-91,10.88%,7.9,-0.3,1.6815,-2084,6.3,2.9,,,,,
Sep-91,10.38%,7.1,-0.3,1.751,-2084,6.3,2.9,,,,,
Oct-91,10.38%,6.8,0.2,1.7392,-1405,6.3,2.9,,,,,
Nov-91,10.38%,7.1,0.2,1.7679,-1405,6.3,2.9,,,,,
Dec-91,10.38%,7.2,0.2,1.8707,-1405,6.3,2.9,,,,,
Jan-92,10.38%,7.1,0,1.7875,-1640,6.3,2.9,,,,,
Feb-92,10.38%,6.9,0,1.7577,-1640,6.3,2.9,,,,,
Mar-92,10.38%,7.1,0,1.7363,-1640,6.3,2.9,,,,,
Apr-92,10.38%,4.7,-0.3,1.7769,-2404,6.3,2.9,,,,,
May-92,9.88%,4.3,-0.3,1.8297,-2404,6.3,2.9,,,,,
Jun-92,9.88%,3.8,-0.3,1.905,-2404,6.3,2.9,,,,,
Jul-92,9.88%,3.6,0.6,1.9275,-2785,6.3,2.9,,,,,
Aug-92,9.88%,3,0.6,1.9884,-2785,6.3,2.9,,,,,
Sep-92,8.88%,3,0.6,1.7773,-2785,6.3,2.9,,,,,
Oct-92,7.88%,2.9,0.5,1.5585,-2203,6.3,2.9,,,,,
Nov-92,6.88%,2.6,0.5,1.5171,-2203,6.3,2.9,,,,,
Dec-92,6.88%,2.6,0.5,1.5105,-2203,6.3,2.9,,,,,
,,,,,,,,,,,,
