,BOP,inflation,interest_rate,GDP_growth,,,,,,
Jan-21,-10110,0.7,0.1,-2.9,,,,,,
Feb-21,-10110,0.4,0.1,0.7,,,,,,
Mar-21,-10110,0.7,0.1,2.3,,,,,,
Apr-21,-2473,1.5,0.1,3.1,,,,,,
May-21,-2473,2.1,0.1,1.3,,,,,,
Jun-21,-2473,2.5,0.1,1,,,,,,
Jul-21,-19088,2,0.1,-0.2,,,,,,
Aug-21,-19088,3.2,0.1,0.9,,,,,,
Sep-21,-19088,3.1,0.1,0.6,,,,,,
Oct-21,-2433,4.2,0.1,0.1,,,,,,
Nov-21,-2433,5.1,0.1,1,,,,,,
Dec-21,-2433,5.4,0.1,0.1,,,,,,
Jan-22,-50455,5.5,0.25,0.2,,,,,,
Feb-22,-50455,6.2,0.25,-0.1,,,,,,
Mar-22,-50455,7,0.75,0.1,,,,,,
Apr-22,-28203,9,0.75,0,,,,,,
May-22,-28203,9.1,1,0.8,,,,,,
Jun-22,-28203,9.4,1.25,-0.7,,,,,,
Jul-22,-12744,10.1,1.25,0.4,,,,,,
Aug-22,-12744,9.9,1.75,0,,,,,,
Sep-22,-12744,10.1,2.25,-0.7,,,,,,
Oct-22,-2483,11.1,2.25,0.7,,,,,,
Nov-22,-2483,10.7,3,0.2,,,,,,
Dec-22,-2483,10.5,3.5,-0.5,,,,,,
